HR 4603,The2Cru,12 04 19.20,-63 09 56.2,4.72
HR 4729,,12 26 30.91,-63 07 21.0,4.86
HR 4731,Alp2Cru,12 26 36.50,-63 05 57.8,1.73
HR 4730,Alp1Cru,12 26 35.90,-63 05 57.1,1.33
HR 2102,,05 54 06.10,-63 05 24.0,4.65
HR 4467,Lam Cen,11 35 46.80,-63 01 10.9,3.13
HR 127,Bet2Tuc,00 31 33.60,-62 57 56.9,4.54
HR 126,Bet1Tuc,00 31 32.71,-62 57 29.2,4.37
HR 1083,Kap Ret,03 29 22.70,-62 56 15.0,4.72
HR 3884,,09 45 14.81,-62 30 28.1,3.69
HR 1922,Bet Dor,05 33 37.49,-62 29 22.9,3.76
HR 1336,Alp Ret,04 14 25.51,-62 28 26.0,3.35
HR 4325,,11 06 32.40,-62 25 27.1,4.61
HR 3728,,09 20 56.81,-62 24 16.9,4.81
HR 3663,,09 11 16.61,-62 19 01.9,3.97
HR 6916,Nu Pav,18 31 22.39,-62 16 41.9,4.64
HR 7074,Lam Pav,18 52 13.01,-62 11 15.0,4.22
HR 1264,Gam Ret,04 00 53.81,-62 09 33.8,4.51
HR 4499,,11 40 53.59,-62 05 24.0,4.94
HR 8582,Nu Tuc,22 33 00.10,-61 58 55.9,4.81
HR 2550,Alp Pic,06 48 11.40,-61 56 29.0,3.27
HR 4140,,10 32 01.39,-61 41 07.1,3.32
HR 591,Alp Hyi,01 58 46.20,-61 34 10.9,2.86
HR 7859,Rho Pav,20 37 35.30,-61 31 48.0,4.88
HR 6855,Xi Pav,18 23 13.61,-61 29 38.0,4.36
HR 1247,Del Ret,03 58 44.69,-61 24 01.1,4.56
HR 4050,,10 17 04.99,-61 19 55.9,3.40
HR 3856,,09 39 21.00,-61 19 41.2,4.52
HR 3220,,08 09 00.70,-61 18 09.0,4.76
HR 4522,,11 46 30.79,-61 10 41.9,4.11
HR 1266,Iot Ret,04 01 18.19,-61 04 44.0,4.97
HR 5035,,13 22 37.90,-60 59 17.9,4.53
HR 4842,Iot Cru,12 45 37.90,-60 58 52.0,4.69
HR 5460,Alp2Cen,14 39 36.10,-60 50 08.2,1.33
HR 5459,Alp1Cen,14 39 35.90,-60 50 07.1,-0.01
HR 6500,Del Ara,17 31 05.90,-60 41 02.0,3.62
HR 3571,,08 55 02.81,-60 38 40.9,3.84
HR 7848,Phi1Pav,20 35 34.80,-60 34 54.1,4.76
