5339,Del Oct,14:26.9,-83:40,4.32
8630,Bet Oct,22:46.1,-81:23,4.15
5303,Eta Aps,14:18.2,-81:0,4.91
4234,Del2Cha,10:45.8,-80:32,4.45
4674,Bet Cha,12:18.3,-79:19,4.26
5470,Alp Aps,14:47.9,-79:3,3.83
6102,Gam Aps,16:33.5,-78:54,3.89
6020,Del1Aps,16:20.3,-78:42,4.68
4174,Gam Cha,10:35.5,-78:36,4.11
4583,Eps Cha,11:59.6,-78:13,4.91
6163,Bet Aps,16:43.1,-77:31,4.24
3340,The Cha,08:20.6,-77:29,4.35
8254,Nu Oct,21:41.5,-77:23,3.76
98,Bet Hyi,00:25.8,-77:15,2.80
9084,The Oct,00:1.6,-77:4,4.78
3318,Alp Cha,08:18.5,-76:55,4.07
872,Nu Hyi,02:50.5,-75:4,4.75
1208,Gam Hyi,03:47.2,-74:14,3.24
4102,,10:24.4,-74:2,4.00
4142,,10:31.0,-73:13,4.93
7590,Eps Pav,20:0.6,-72:55,3.96
3024,Zet Vol,07:41.8,-72:36,3.95
3643,,09:5.1,-72:36,4.48
4773,Gam Mus,12:32.5,-72:8,3.87
4138,,10:30.3,-71:60,4.74
4923,Del Mus,13:2.3,-71:33,3.62
6982,Zet Pav,18:43.0,-71:26,4.01
3642,,09:5.6,-70:32,4.71
2736,Gam2Vol,07:8.7,-70:30,3.78
4538,,11:49.9,-70:14,4.97
6098,Zet TrA,16:28.5,-70:5,4.91
4037,Ome Car,10:13.7,-70:2,3.32
3685,Bet Car,09:13.2,-69:43,1.68
4798,Alp Mus,12:37.2,-69:8,2.69
6217,Alp TrA,16:48.7,-69:2,1.92
377,Kap Tuc,01:15.8,-68:53,4.86
5671,Gam TrA,15:18.9,-68:41,2.89
705,Del Hyi,02:21.7,-68:40,4.09
3223,Eps Vol,08:7.9,-68:37,4.35
806,Eps Hyi,02:39.6,-68:16,4.11
4844,Bet Mus,12:46.3,-68:6,3.05
4671,Eps Mus,12:17.6,-67:58,4.11
2803,Del Vol,07:16.8,-67:57,3.98
4993,Eta Mus,13:15.2,-67:54,4.80
6417,Zet Aps,17:22.0,-67:46,4.78
570,Eta2Hyi,01:54.9,-67:39,4.69
837,Zet Hyi,02:45.5,-67:37,4.84
7107,Kap Pav,18:57.0,-67:14,4.44
1744,The Dor,05:13.8,-67:11,4.83
4089,,10:23.0,-66:54,4.99
4530,Mu Mus,11:48.2,-66:49,4.72
5002,,13:17.2,-66:47,4.87
4520,Lam Mus,11:45.6,-66:44,3.64
3615,Alp Vol,09:2.4,-66:24,4.00
5771,Eps TrA,15:36.7,-66:19,4.11
7913,Bet Pav,20:45.0,-66:12,3.42
7665,Del Pav,20:8.7,-66:11,3.56
3347,Bet Vol,08:25.7,-66:8,3.77
2015,Del Dor,05:44.8,-65:44,4.35
9076,Eps Tuc,23:59.9,-65:35,4.50
8181,Gam Pav,21:26.4,-65:22,4.22
4549,,11:51.9,-65:12,4.90
3890,Ups Car,09:47.1,-65:4,3.01
5463,Alp Cir,14:42.5,-64:59,3.19
8540,Del Tuc,22:27.3,-64:58,4.48
77,Zet Tuc,00:20.1,-64:52,4.23
7012,,18:45.4,-64:52,4.79
1175,Bet Ret,03:44.2,-64:48,3.85
6582,Eta Pav,17:45.7,-64:43,3.62
4616,Eta Cru,12:6.9,-64:37,4.15
5041,,13:24.0,-64:32,4.53
4196,,10:42.2,-64:28,4.82
4199,The Car,10:43.0,-64:24,2.76
4222,,10:46.9,-64:23,4.85
9062,Eta Tuc,23:57.6,-64:18,5.00
909,Bet Hor,02:58.8,-64:4,4.99
4679,Zet Cru,12:18.4,-64:0,4.04
4205,,10:44.1,-63:58,4.82
4537,,11:49.7,-63:47,4.32
5241,,13:57.6,-63:41,4.71
6030,Del TrA,16:15.4,-63:41,3.85
6745,Pi Pav,18:8.6,-63:40,4.35
5666,Eps Cir,15:17.6,-63:37,4.86
3159,,08:0.3,-63:34,4.82
5897,Bet TrA,15:55.1,-63:26,2.85
4599,The1Cru,12:3.0,-63:19,4.33
4603,The2Cru,12:4.3,-63:10,4.72
4729,,12:26.5,-63:7,4.86
4731,Alp2Cru,12:26.6,-63:6,1.73
4730,Alp1Cru,12:26.6,-63:6,1.33
2102,,05:54.1,-63:5,4.65
4467,Lam Cen,11:35.8,-63:1,3.13
127,Bet2Tuc,00:31.6,-62:58,4.54
126,Bet1Tuc,00:31.5,-62:57,4.37
1083,Kap Ret,03:29.4,-62:56,4.72
3884,,09:45.2,-62:30,3.69
1922,Bet Dor,05:33.6,-62:29,3.76
1336,Alp Ret,04:14.4,-62:28,3.35
4325,,11:6.5,-62:25,4.61
3728,,09:20.9,-62:24,4.81
3663,,09:11.3,-62:19,3.97
6916,Nu Pav,18:31.4,-62:17,4.64
7074,Lam Pav,18:52.2,-62:11,4.22
1264,Gam Ret,04:0.9,-62:10,4.51
4499,,11:40.9,-62:5,4.94
8582,Nu Tuc,22:33.0,-61:59,4.81
2550,Alp Pic,06:48.2,-61:56,3.27
4140,,10:32.0,-61:41,3.32
591,Alp Hyi,01:58.8,-61:34,2.86
7859,Rho Pav,20:37.6,-61:32,4.88
6855,Xi Pav,18:23.2,-61:30,4.36
1247,Del Ret,03:58.7,-61:24,4.56
4050,,10:17.1,-61:20,3.40
3856,,09:39.4,-61:20,4.52
3220,,08:9.0,-61:18,4.76
4522,,11:46.5,-61:11,4.11
1266,Iot Ret,04:1.3,-61:5,4.97
5035,,13:22.6,-60:59,4.53
4842,Iot Cru,12:45.6,-60:59,4.69
5460,Alp2Cen,14:39.6,-60:50,1.33
5459,Alp1Cen,14:39.6,-60:50,-0.01
6500,Del Ara,17:31.1,-60:41,3.62
3571,,08:55.0,-60:39,3.84
7848,Phi1Pav,20:35.6,-60:35,4.76
4200,,10:43.5,-60:34,4.57
4700,Eps Cru,12:21.4,-60:24,3.59
5267,Bet Cen,14:3.8,-60:22,0.61
4352,,11:12.6,-60:19,4.60
8502,Alp Tuc,22:18.5,-60:16,2.86
4975,,13:12.3,-59:55,4.60
3457,,08:40.6,-59:46,4.33
4853,Bet Cru,12:47.7,-59:41,1.25
4823,,12:41.9,-59:41,4.93
3307,Eps Car,08:22.5,-59:31,1.86
5704,Gam Cir,15:23.4,-59:19,4.51
1355,Eps Ret,04:16.5,-59:18,4.44
3699,Iot Car,09:17.1,-59:17,2.25
3825,,09:34.4,-59:14,4.08
3582,,08:57.0,-59:14,4.92
4177,,10:38.8,-59:11,4.66
4897,Lam Cru,12:54.7,-59:9,4.62
4989,,13:14.2,-59:6,4.92
6229,Eta Ara,16:49.8,-59:2,3.76
4337,,11:8.6,-58:58,3.91
3659,,09:11.0,-58:58,3.44
4257,,10:53.5,-58:51,3.78
5670,Bet Cir,15:17.5,-58:48,4.07
4656,Del Cru,12:15.1,-58:45,2.80
4114,,10:27.9,-58:44,3.82
5371,,14:22.6,-58:28,4.92
7986,Bet Ind,20:54.8,-58:27,3.65
8848,Gam Tuc,23:17.4,-58:14,3.99
3414,,08:35.3,-58:1,4.86
5961,Iot1Nor,16:3.5,-57:47,4.63
4110,,10:27.4,-57:38,4.66
4159,,10:35.6,-57:33,4.45
3696,,09:16.2,-57:32,4.34
1674,Zet Dor,05:5.5,-57:28,4.72
191,Eta Phe,00:43.4,-57:28,4.36
472,Alp Eri,01:37.7,-57:14,0.46
4898,Mu 1Cru,12:54.6,-57:11,4.03
4763,Gam Cru,12:31.2,-57:7,1.63
3803,,09:31.2,-57:2,3.13
8387,Eps Ind,22:3.4,-56:47,4.69
3498,,08:46.7,-56:46,4.49
7790,Alp Pav,20:25.6,-56:44,1.94
4848,,12:46.4,-56:29,4.65
5358,,14:20.3,-56:23,4.33
6462,Gam Ara,17:25.4,-56:23,3.34
2042,Gam Pic,05:49.8,-56:10,4.51
4074,,10:20.9,-56:3,4.50
6285,Zet Ara,16:58.6,-55:59,3.13
4180,,10:39.3,-55:36,4.28
6461,Bet Ara,17:25.3,-55:32,2.85
338,Zet Phe,01:8.4,-55:15,3.92
4682,,12:19.0,-55:9,5.00
1465,Alp Dor,04:34.0,-55:3,3.27
4063,,10:19.6,-55:2,4.57
3734,Kap Vel,09:22.1,-55:1,2.50
8368,Del Ind,21:57.9,-54:60,4.40
2212,Del Pic,06:10.3,-54:58,4.81
3485,Del Vel,08:44.7,-54:42,1.96
6024,Kap Nor,16:13.5,-54:38,4.94
3940,Phi Vel,09:56.9,-54:34,3.54
4390,Pi Cen,11:21.0,-54:29,3.89
4460,,11:34.8,-54:16,4.62
4134,,10:31.4,-53:43,4.89
2554,,06:49.9,-53:37,4.40
8655,Eta Gru,22:45.6,-53:30,4.85
5132,Eps Cen,13:39.9,-53:28,2.30
8140,The Ind,21:19.9,-53:27,4.39
5297,,14:9.9,-53:26,4.75
6295,Eps1Ara,16:59.6,-53:10,4.06
3467,,08:42.4,-53:7,4.86
3117,Chi Car,07:56.8,-52:59,3.47
2435,,06:35.0,-52:59,4.39
7134,Lam Tel,18:58.5,-52:56,4.87
3447,,08:40.3,-52:55,3.62
7673,Xi Tel,20:7.4,-52:53,4.94
8747,Zet Gru,23:0.9,-52:45,4.12
3574,,08:56.3,-52:43,4.69
2326,Alp Car,06:24.0,-52:42,-0.72
2934,,07:35.7,-52:32,4.94
4638,Rho Cen,12:11.7,-52:22,3.96
5649,Zet Lup,15:12.3,-52:6,3.41
7920,Eta Ind,20:44.0,-51:55,4.51
3990,,10:8.9,-51:49,4.86
566,Chi Eri,01:56.0,-51:37,3.70
674,Phi Eri,02:16.5,-51:31,3.56
1338,Gam Dor,04:16.0,-51:29,4.25
4732,,12:26.5,-51:27,4.82
5172,,13:46.7,-51:26,4.65
8675,Eps Gru,22:48.6,-51:19,3.49
2020,Bet Pic,05:47.3,-51:4,3.85
4621,Del Cen,12:8.4,-50:43,2.60
4618,,12:8.1,-50:40,4.47
2553,Tau Pup,06:49.9,-50:37,2.93
