M 21,18.0704,-22.49
M 24,
M 16,18.3133,-13.7972
M 18,18.3328,-17.1017
M 17,18.3467,-16.1833
M 28,18.4091,-24.8694
M 69,18.5231,-32.3475
M 25,18.5296,-19.115
M 22,18.6067,-23.9028
M 70,18.7202,-32.2914
M 54,18.9176,-30.4778
M 71,19.8961,18.7789
M 27,19.9934,22.7217
M 55,19.6665,-30.9617
NGC 6818,19.7327,-14.1525
NGC 6822,19.7491,-14.8064
M 75,20.1013,-21.9208
M 30,21.6728,-23.1786
M 15,21.4995,12.1675
NGC 7331,22.6181,34.4203
M 72,20.8911,-12.5364
M 73,20.9822,-12.6353
NGC 7009,21.0697,-11.3631
M 2,21.5576,-0.822778
NGC 7293,22.494,-20.8364
NGC 55,0.252222,-39.2194
NGC 104,0.401444,-72.0803
NGC 362,1.05397,-70.8478
NGC 1291,3.28842,-41.1072
NGC 1316,3.37817,-37.2078
NGC 1365,3.56019,-36.1408
NGC 1851,5.23508,-40.0467
NGC 2070,5.644,-69.0942
NGC 2516,7.96864,-60.7533
NGC 2451,7.75667,-37.9667
NGC 2477,7.86936,-38.5333
NGC 2547,8.16972,-49.2333
NGC 2546,8.20667,-37.6167
IC 2391,8.67167,-52.9167
NGC 3132,10.1172,-40.4361
NGC 3201,10.2936,-46.4106
NGC 2808,9.20072,-64.8625
NGC 3114,10.045,-60.1
NGC 3293,10.5969,-58.2244
IC 2602,10.7157,-64.3942
NGC 3372,10.7306,-59.8667
NGC 3532,11.0917,-58.7333
NGC 3766,11.604,-61.61
NGC 4755,12.8936,-60.3561
NGC 5128,13.4247,-43.0161
NGC 5139,13.4464,-47.4808
NGC 5460,14.1267,-48.3
NGC 5822,15.07,-54.4167
NGC 5986,15.7676,-37.7856
NGC 6067,16.2197,-54.2189
NGC 6087,16.3144,-57.9
NGC 6397,17.6781,-53.6731
NGC 6124,16.4222,-40.6536
NGC 6231,16.903,-41.8242
NGC 6388,17.6047,-44.7344
NGC 6541,18.1339,-43.7111
NGC 6723,18.9926,-36.6311
NGC 6752,19.1811,-59.9814
